city,date,year,quarter,property_type,price_m2
Bonn,2005-01-01,2005,1,single_family,2000.0
Bonn,2005-04-01,2005,2,single_family,1900.0
Bonn,2005-07-01,2005,3,single_family,1900.0
Bonn,2005-10-01,2005,4,single_family,1800.0
Bonn,2006-01-01,2006,1,single_family,1900.0
Bonn,2006-04-01,2006,2,single_family,2000.0
Bonn,2006-07-01,2006,3,single_family,2000.0
Bonn,2006-10-01,2006,4,single_family,1900.0
Bonn,2007-01-01,2007,1,single_family,1900.0
Bonn,2007-04-01,2007,2,single_family,2100.0
Bonn,2007-07-01,2007,3,single_family,2100.0
Bonn,2007-10-01,2007,4,single_family,1900.0
Bonn,2008-01-01,2008,1,single_family,1900.0
Bonn,2008-04-01,2008,2,single_family,2000.0
Bonn,2008-07-01,2008,3,single_family,1900.0
Bonn,2008-10-01,2008,4,single_family,1800.0
Bonn,2009-01-01,2009,1,single_family,1900.0
Bonn,2009-04-01,2009,2,single_family,1800.0
Bonn,2009-07-01,2009,3,single_family,1800.0
Bonn,2009-10-01,2009,4,single_family,1700.0
Bonn,2010-01-01,2010,1,single_family,1800.0
Bonn,2010-04-01,2010,2,single_family,2000.0
Bonn,2010-07-01,2010,3,single_family,2000.0
Bonn,2010-10-01,2010,4,single_family,2000.0
Bonn,2011-01-01,2011,1,single_family,2100.0
Bonn,2011-04-01,2011,2,single_family,2100.0
Bonn,2011-07-01,2011,3,single_family,2100.0
Bonn,2011-10-01,2011,4,single_family,2000.0
Bonn,2012-01-01,2012,1,single_family,2300.0
Bonn,2012-04-01,2012,2,single_family,2300.0
Bonn,2012-07-01,2012,3,single_family,2500.0
Bonn,2012-10-01,2012,4,single_family,2300.0
Bonn,2013-01-01,2013,1,single_family,2300.0
Bonn,2013-04-01,2013,2,single_family,2400.0
Bonn,2013-07-01,2013,3,single_family,2400.0
Bonn,2013-10-01,2013,4,single_family,2400.0
Bonn,2014-01-01,2014,1,single_family,2500.0
Bonn,2014-04-01,2014,2,single_family,2500.0
Bonn,2014-07-01,2014,3,single_family,2600.0
Bonn,2014-10-01,2014,4,single_family,2600.0
Bonn,2015-01-01,2015,1,single_family,2300.0
Bonn,2015-04-01,2015,2,single_family,2800.0
