year,unemployment_rate_pct,persons_in_employment_mill,compensation_bn_eur,avg_compensation_per_employee_eur,earnings_index_monthly_with_bonus,earnings_index_monthly_without_bonus,cpi_headline,cpi_yoy_change_pct,cpi_housing,building_permits_total,building_permits_residential,hpi_overall,hpi_new_property,hpi_existing_property,mortgage_rate_avg_pct,mortgage_rate_min_pct,mortgage_rate_max_pct,wohngeld_total,wohngeld_rent_support,wohngeld_mortgage_support
2005,9.9,,1166.822,,,,81.5,1.6,79.3,242123,198896,83.3,74.6,84.9,4.34,4.18,4.55,780660.0,695231.0,85429.0
2006,9.1,,1189.871,,,,82.8,1.6,81.7,247986,201314,83.0,73.9,84.6,4.69,4.4,4.87,665892.0,591285.0,74607.0
2007,7.4,37.153,1224.813,32967.0,,,84.7,2.3,83.3,188274,141405,81.2,75.4,82.2,5.15,4.85,5.37,580302.0,517679.0,62623.0
2008,6.4,37.637,1273.169,33828.0,,,86.9,2.6,86.1,184059,133666,82.3,77.4,83.2,5.27,4.96,5.54,584035.0,522416.0,61619.0
2009,6.9,37.887,1281.143,33815.0,,,87.2,0.3,86.5,184564,136078,83.0,81.6,83.2,4.34,4.13,4.83,859610.0,775609.0,84001.0
2010,6.6,37.412,1320.515,35297.0,78.3,78.3,88.1,1.0,87.4,191299,140935,83.9,83.6,83.9,3.8,3.55,4.08,857012.0,778395.0,78617.0
2011,6.0,38.178,1377.957,36093.0,79.6,79.4,90.0,2.2,90.0,213305,161569,86.8,87.8,86.7,3.92,3.57,4.21,770369.0,703259.0,67110.0
2012,5.9,38.475,1433.145,37249.0,81.7,81.8,91.7,1.9,92.0,208923,159092,89.8,90.3,89.7,3.15,2.87,3.54,690120.0,631022.0,59098.0
2013,6.1,38.811,1476.092,38033.0,83.7,83.8,93.1,1.5,93.9,213362,165331,92.6,91.4,92.8,2.82,2.67,2.93,594709.0,544276.0,50433.0
2014,5.9,39.085,1536.177,39303.0,86.4,86.3,94.0,1.0,94.7,209295,163866,95.5,94.8,95.6,2.54,2.17,2.88,510716.0,467833.0,42883.0
2015,5.7,39.348,1598.56,40626.0,88.2,88.3,94.5,0.5,94.3,222280,177166,100.0,100.0,100.0,2.0,1.81,2.15,419115.0,383274.0,35841.0
2016,5.6,40.316,1661.627,41215.0,90.0,90.2,95.0,0.5,94.3,233833,184877,107.5,106.9,107.6,1.81,1.67,2.0,595150.0,549973.0,45177.0
2017,5.2,40.626,1737.198,42761.0,92.3,92.8,96.4,1.5,95.5,221871,175707,114.1,111.8,114.5,1.88,1.82,1.94,560681.0,517715.0,42966.0
2018,4.8,40.791,1820.719,44635.0,95.0,95.1,98.1,1.8,97.2,219494,173568,121.7,118.9,122.2,1.93,1.88,1.96,519584.0,481113.0,38471.0
2019,4.7,41.195,1903.786,46214.0,98.0,97.7,99.5,1.4,99.0,222678,176637,128.7,122.9,129.8,1.57,1.31,1.92,479245.0,445335.0,33910.0
2020,5.6,40.238,1899.786,47214.0,100.0,100.0,100.0,0.5,100.0,232208,187130,138.7,130.4,140.2,1.3,1.21,1.39,593485.0,555085.0,38405.0
2021,5.4,40.683,1968.243,48380.0,101.3,101.4,103.1,3.1,101.7,248688,201055,154.7,140.0,157.5,1.3,1.22,1.37,572535.0,536730.0,35805.0
2022,5.0,41.735,2086.449,49993.0,103.5,102.8,110.2,6.9,109.1,217586,175170,164.1,148.7,167.0,2.57,1.39,3.67,630965.0,589655.0,41310.0
2023,5.3,42.273,2235.611,52885.0,107.3,105.3,116.7,5.9,114.5,163906,124167,150.3,145.0,151.3,4.06,3.73,4.27,1148095.0,1064295.0,83800.0
2024,5.6,42.479,2357.849,55506.0,112.4,109.8,119.3,2.2,115.9,145010,107565,148.0,145.7,148.2,3.84,3.59,3.99,1169015.0,1086350.0,82665.0
2025,5.9,42.493,2477.108,58294.0,115.4,115.0,121.9,2.2,117.5,149748,113542,,,,3.71,3.56,3.8,,,
